commit,path,add,del,arch,subsys,topdir
be8708d4d1a49f8a66e2e3b0bff841938055659b,src/cpu/o3/decode.hh,9.0,14.0,,cpu/o3,src
3ae55aab557cd188feef141a98ee6f7bf1e6c20b,.github/workflows/ci-tests.yaml,33.0,0.0,,.github,.github
17c2dc8c071b80f959e3a9f7b5aefd5ad35929df,.clang-format,6.0,1.0,,.clang-format,.clang-format
e6b0a0223c32e859c30e7103c92a556e44db586f,src/python/m5/SimObject.py,3.0,0.0,,python,src
86cf5fb969eff5bfad1668c71b69361ba362e460,.clang-format,10.0,1.0,,.clang-format,.clang-format
b4b111599abc555fa7a82625b8329b2407362188,src/cpu/pred/BranchPredictor.py,7.0,0.0,,cpu/pred,src
b4b111599abc555fa7a82625b8329b2407362188,src/cpu/pred/bpred_unit.cc,40.0,39.0,,cpu/pred,src
b4b111599abc555fa7a82625b8329b2407362188,src/cpu/pred/bpred_unit.hh,12.0,1.0,,cpu/pred,src
5829abd58a2ea916a1a338269e35e22b3c5312d2,src/cpu/pred/tage_base.cc,18.0,6.0,,cpu/pred,src
d446055f5e1d3fb4345c87a86ccd98b9776a9dbb,src/mem/ruby/system/RubyPort.cc,24.0,0.0,,mem,src
d446055f5e1d3fb4345c87a86ccd98b9776a9dbb,src/mem/ruby/system/Sequencer.cc,16.0,0.0,,mem,src
14992bd5ba6e24bf855dbd8ee96a4913ac86f868,src/cpu/o3/dyn_inst.hh,6.0,2.0,,cpu/o3,src
6f4ba3f38dab84b13411ffc02d6f27705ac86ae8,.pre-commit-config.yaml,1.0,1.0,,.pre-commit-config.yaml,.pre-commit-config.yaml
d597d1327516ca11f092cb8b9394dcbd9f535de7,src/sim/debug.cc,0.0,3.0,,sim,src
5def0734d6e84a11b8455ab657e744cf86908007,src/base/loader/object_file.hh,1.0,0.0,,base,src
5def0734d6e84a11b8455ab657e744cf86908007,src/cpu/pc_event.hh,1.0,0.0,,cpu,src
34bec8bd44573037f8212d9ac7f666c91f4d01c5,src/arch/isa_parser/isa_parser.py,4.0,1.0,isa_parser,arch,src
9d25b33321f768aad0dbbb117f3da81199910eb0,src/mem/slicc/parser.py,2.0,0.0,,mem,src
130629f9ffba3626fd752924ccec726020c2526d,src/arch/arm/insts/fplib.cc,964.0,12.0,arm,arch,src
130629f9ffba3626fd752924ccec726020c2526d,src/arch/arm/insts/fplib.hh,21.0,0.0,arm,arch,src
8a3b051b2f71be8dee26956eba9a9b576bc93ca3,src/cpu/FuncUnit.py,6.0,1.0,,cpu,src
8a3b051b2f71be8dee26956eba9a9b576bc93ca3,src/cpu/op_class.hh,6.0,1.0,,cpu,src
ce9f6c6976be4408494099abe653d9b17e13dcd4,configs/common/cores/arm/HPI.py,5.0,0.0,,configs,configs
ce9f6c6976be4408494099abe653d9b17e13dcd4,configs/common/cores/arm/O3_ARM_v7a.py,5.0,0.0,,configs,configs
ce9f6c6976be4408494099abe653d9b17e13dcd4,src/cpu/minor/BaseMinorCPU.py,6.0,1.0,,cpu/minor,src
ce9f6c6976be4408494099abe653d9b17e13dcd4,src/cpu/o3/FuncUnitConfig.py,6.0,1.0,,cpu/o3,src
4a36fd367eee71a49b20e2403e6195d257d1d8d6,src/arch/arm/ArmSystem.py,6.0,0.0,arm,arch,src
4a36fd367eee71a49b20e2403e6195d257d1d8d6,src/arch/arm/isa.cc,6.0,0.0,arm,arch,src
